;fecha;hora;dep;jur;tipo.sin;vehi;rol;edad;sexo;f.dias;otro.vehi;dir;x;y
2017;03/12/2017;10:37:00;CANELONES;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;CONDUCTOR;23;M;0;AUTO;RUTA 11 KM 131;
2017;03/12/2017;10:37:00;CANELONES;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;PASAJERO;23;M;0;AUTO;RUTA 11 KM 131;
2017;03/12/2017;20:00:00;MONTEVIDEO;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;27;M;0;AUTO;RUTA 1 KM 9;
2017;03/12/2017;19:34:00;CANELONES;NACIONAL;ATROPELLO DE PEATON;PEATON;PEATON;75;F;3;MOTO;CAMINO CARRASCO Y GRA—A;586244
2017;03/12/2017;20:40:00;CANELONES;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;28;M;0;MOTO;RUTA 48 KM 3;
2017;03/12/2017;20:40:00;CANELONES;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;23;M;1;MOTO;RUTA 48 KM 3;
2017;13/03/2017;23:05:00;CANELONES;DEPARTAMENTAL;DESPISTE;AUTO;CONDUCTOR;67;M;1;;RUTA 5 VIEJA KM. 57;
2017;13/03/2017;20:37:00;CANELONES;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;AUTO;CONDUCTOR;66;M;0;CAMIONETA;RAMBLA COSTANERA ESQ. AMELIA RAMIREZ;597500
2017;14/03/2017;11:39:00;MONTEVIDEO;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;69;M;0;OMNIBUS;RAMBLA DEL PERU ESQ. JUAN MARÕA P…REZ;577743
2017;16/03/2017;13:05:00;SALTO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;19;M;0;CAMION;CALLE UNO Y AVENIDA APOLON;413172
2017;18/03/2017;13:58:00;CANELONES;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;27;M;1;AUTO;DR. LUIS BATLLE BERRES ESQ. AV. GENERAL FLORES;570715
2017;18/03/2017;18:25:00;CANELONES;DEPARTAMENTAL;ATROPELLO DE PEATON;PEATON;PEATON;28;F;1;AUTO;CAMINO AL PARQUE BONOMI ;585546
2017;20/03/2017;14:53:00;MONTEVIDEO;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;23;M;6;CAMION;CAMINO MALDONADO ESQ. ARIES;582132
2017;21/03/2017;13:00:00;MALDONADO;DEPARTAMENTAL;DESPISTE;MOTO;CONDUCTOR;18;M;5;;MAR ESQ. DELICIAS;688692
2017;24/03/2017;19:06:00;MONTEVIDEO;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;PASAJERO;21;F;0;AUTO;RUTA DE ACCESO KM. 3500;570092
2017;24/03/2017;18:40:00;MONTEVIDEO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;20;M;1;MOTO;EMILIO ZOLA ESQ. SALUSTIO;577223
2017;24/03/2017;19:08:00;MONTEVIDEO;NACIONAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;20;M;0;CAMIONETA;RUTA 8 KM 18000;585217
2017;24/03/2017;21:12:00;MALDONADO;NACIONAL;COLISION ENTRE VEHICULOS;AUTO;PASAJERO;19;F;0;CAMIONETA;RUTA 9 KM 123;
2017;24/03/2017;21:40:00;CANELONES;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;51;M;1;CAMIONETA;CNO. LOS HORNEROS ENTRADA BARRIO CARMEL;593534
2017;25/03/2017;18:45:00;CERRO LARGO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;15;M;0;MOTO;CONTINUACI”N BATLLE Y ORDO—EZ Y ANTONIO LARRA—AGA;767780
2017;25/03/2017;18:45:00;CERRO LARGO;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;16;M;1;MOTO;CONTINUACI”N BATLLE Y ORDO—EZ Y ANTONIO LARRA—AGA;767780
2017;25/03/2017;22:00:00;SAN JOSE;NACIONAL;DESPISTE;CAMIONETA;PASAJERO;88;F;0;;RUTA 1 KM 88;
2017;26/03/2017;15:30:00;ROCHA;NACIONAL;DESPISTE;CAMIONETA;PASAJERO;11;M;0;;RUTA 19 KM 36;
2017;27/03/2017;15:30:00;CANELONES;DEPARTAMENTAL;CAIDA;CARRO;CONDUCTOR;53;M;1;;PASO GAR⁄A ESQ. 18 DE JULIO;556979
2017;27/03/2017;19:05:00;COLONIA;DEPARTAMENTAL;COLISION ENTRE VEHICULOS;MOTO;CONDUCTOR;18;M;1;CAMION;ZORRILLA DE SAN MARTÕN ESQ. …XODO;425236
